full_text,cleaning,case_folding,tokenizing,normalisasi,stopwords_removal,stemming
@FrediRandi4 RUU KUHAP bukan jalan sendirian bareng kepemimpinan Presiden Prabowo pasti akan terealisasi, RUU KUHAP bukan jalan sendirian bareng kepemimpinan Presiden Prabowo pasti akan terealisasi, ruu kuhap bukan jalan sendirian bareng kepemimpinan presiden prabowo pasti akan terealisasi,"['ruu', 'kuhap', 'bukan', 'jalan', 'sendirian', 'bareng', 'kepemimpinan', 'presiden', 'prabowo', 'pasti', 'akan', 'terealisasi']",ruu kuhap bukan jalan sendirian bareng kepemimpinan presiden prabowo pasti akan terealisasi,ruu kuhap bukan jalan sendirian bareng kepemimpinan presiden prabowo terealisasi,ruu hap bukan jalan sendiri bareng pimpin presiden prabowo realisasi
@Anak__Ogi @prabowo @Gerindra @bang_dasco Setuju...... sudah itu anda dilantik sebagai pengganti atau paling tidak Wamen....lah...,    Setuju sudah itu anda dilantik sebagai pengganti atau paling tidak Wamenlah,    setuju sudah itu anda dilantik sebagai pengganti atau paling tidak wamenlah,"['setuju', 'sudah', 'itu', 'anda', 'dilantik', 'sebagai', 'pengganti', 'atau', 'paling', 'tidak', 'wamenlah']",setuju sudah itu anda dilantik sebagai pengganti atau paling tidak wamenlah,setuju dilantik pengganti paling wamenlah,tuju lantik ganti paling wamenlah
Sudah waktunya presiden Prabowo singkirkan para menteri yang yang hanya pandai menjilat tapi tidak pro rakyat. Seperti kementerian perumahan yang pro oligarki terbukti tidak memihak rakyat Tangerang Banten ketika diintimidasi dan dirampas tanahnya oleh Aguan dan Antoni salim pik2,Sudah waktunya presiden Prabowo singkirkan para menteri yang yang hanya pandai menjilat tapi tidak pro rakyat Seperti kementerian perumahan yang pro oligarki terbukti tidak memihak rakyat Tangerang Banten ketika diintimidasi dan dirampas tanahnya oleh Aguan dan Antoni salim pik,sudah waktunya presiden prabowo singkirkan para menteri yang yang hanya pandai menjilat tapi tidak pro rakyat seperti kementerian perumahan yang pro oligarki terbukti tidak memihak rakyat tangerang banten ketika diintimidasi dan dirampas tanahnya oleh aguan dan antoni salim pik,"['sudah', 'waktunya', 'presiden', 'prabowo', 'singkirkan', 'para', 'menteri', 'yang', 'yang', 'hanya', 'pandai', 'menjilat', 'tapi', 'tidak', 'pro', 'rakyat', 'seperti', 'kementerian', 'perumahan', 'yang', 'pro', 'oligarki', 'terbukti', 'tidak', 'memihak', 'rakyat', 'tangerang', 'banten', 'ketika', 'diintimidasi', 'dan', 'dirampas', 'tanahnya', 'oleh', 'aguan', 'dan', 'antoni', 'salim', 'pik']",sudah waktunya presiden prabowo singkirkan para menteri yang yang hanya pandai menjilat tapi tidak pro rakyat seperti kementerian perumahan yang pro oligarki terbukti tidak memihak rakyat tangerang banten ketika diintimidasi dan dirampas tanahnya oleh aguan dan antoni salim pik,waktunya presiden prabowo singkirkan menteri pandai menjilat pro rakyat kementerian perumahan pro oligarki terbukti memihak rakyat tangerang banten diintimidasi dirampas tanahnya aguan antoni salim pik,waktu presiden prabowo singkir menteri pandai jilat pro rakyat menteri rumah pro oligarki bukti pihak rakyat tangerang banten intimidasi rampas tanah aguan antoni salim pik
@JedTeguh03 Dukung banget keputusan Presiden Prabowo terkait Perpres Perlindungan Jaksa biar jaksa makin optimal, Dukung banget keputusan Presiden Prabowo terkait Perpres Perlindungan Jaksa biar jaksa makin optimal, dukung banget keputusan presiden prabowo terkait perpres perlindungan jaksa biar jaksa makin optimal,"['dukung', 'banget', 'keputusan', 'presiden', 'prabowo', 'terkait', 'perpres', 'perlindungan', 'jaksa', 'biar', 'jaksa', 'makin', 'optimal']",dukung banget keputusan presiden prabowo terkait perpres perlindungan jaksa biar jaksa makin optimal,dukung banget keputusan presiden prabowo terkait perpres perlindungan jaksa biar jaksa makin optimal,dukung banget putus presiden prabowo kait pres lindung jaksa biar jaksa makin optimal
@MasPe_22 Dukungan Presiden Prabowo terhadap CKG bawa suasana optimis buat banyak orang, Dukungan Presiden Prabowo terhadap CKG bawa suasana optimis buat banyak orang, dukungan presiden prabowo terhadap ckg bawa suasana optimis buat banyak orang,"['dukungan', 'presiden', 'prabowo', 'terhadap', 'ckg', 'bawa', 'suasana', 'optimis', 'buat', 'banyak', 'orang']",dukungan presiden prabowo terhadap ckg bawa suasana optimis buat banyak orang,dukungan presiden prabowo ckg bawa suasana optimis buat banyak orang,dukung presiden prabowo ckg bawa suasana optimis buat banyak orang
POLRI??? IYA POLRI. Dampak dari kelakuan Oknum Polisi dlm penegakkan hukum yg di rekayasa? Rakyat Indonesia SUDAH TIDAK PERCAYA PADA POLRI?? Monitor Yth @prabowo @KejaksaanRI https://t.co/b0yLVnvaJg,POLRI IYA POLRI Dampak dari kelakuan Oknum Polisi dlm penegakkan hukum yg di rekayasa Rakyat Indonesia SUDAH TIDAK PERCAYA PADA POLRI Monitor Yth   ,polri iya polri dampak dari kelakuan oknum polisi dlm penegakkan hukum yg di rekayasa rakyat indonesia sudah tidak percaya pada polri monitor yth   ,"['polri', 'iya', 'polri', 'dampak', 'dari', 'kelakuan', 'oknum', 'polisi', 'dlm', 'penegakkan', 'hukum', 'yg', 'di', 'rekayasa', 'rakyat', 'indonesia', 'sudah', 'tidak', 'percaya', 'pada', 'polri', 'monitor', 'yth']",polri iya polri dampak dari kelakuan oknum polisi dalam penegakkan hukum yang di rekayasa rakyat indonesia sudah tidak percaya pada polri monitor yth,polri iya polri dampak kelakuan oknum polisi penegakkan hukum rekayasa rakyat indonesia percaya polri monitor yth,polri iya polri dampak laku oknum polisi tegak hukum rekayasa rakyat indonesia percaya polri monitor yth
@kh66369072 @prabowo @are_inismyname @awikuchuz @bitCarli77 @EdySularno96489 @FDonghun @indonesiaku_yes @Kimberley_PS08 @Ndons_Back @99propaganda SALAH,           SALAH,           salah,['salah'],salah,salah,salah
@hart_saja @EliasDipo @InvestorID @prabowo Sepakat,    Sepakat,    sepakat,['sepakat'],sepakat,sepakat,sepakat
Bapak Presiden @prabowo saya yakin negara mampu mengungkap dalang dibalik penyerangan-penyerangan ini. Ini sudah bentuk teror... wajib diberantas.,Bapak Presiden  saya yakin negara mampu mengungkap dalang dibalik penyeranganpenyerangan ini Ini sudah bentuk teror wajib diberantas,bapak presiden  saya yakin negara mampu mengungkap dalang dibalik penyeranganpenyerangan ini ini sudah bentuk teror wajib diberantas,"['bapak', 'presiden', 'saya', 'yakin', 'negara', 'mampu', 'mengungkap', 'dalang', 'dibalik', 'penyeranganpenyerangan', 'ini', 'ini', 'sudah', 'bentuk', 'teror', 'wajib', 'diberantas']",bapak presiden saya yakin negara mampu mengungkap dalang dibalik penyeranganpenyerangan ini ini sudah bentuk teror wajib diberantas,bapak presiden yakin negara mampu mengungkap dalang dibalik penyeranganpenyerangan bentuk teror wajib diberantas,bapak presiden yakin negara mampu ungkap dalang balik penyeranganpenyerangan bentuk teror wajib berantas
Apa persamaan Macron dan Prabowo? ini:,Apa persamaan Macron dan Prabowo ini,apa persamaan macron dan prabowo ini,"['apa', 'persamaan', 'macron', 'dan', 'prabowo', 'ini']",apa persamaan macron dan prabowo ini,apa persamaan macron prabowo,apa sama macron prabowo
@EliasDipo @InvestorID @prabowo Dari konsep juga sudah kacau. Kenapa MBG diberikan pada anak2 sekolah tanpa seleksi? Apa sebenarnya tujuan MBG? Kalau utk mengurangi kurang gizi kenapa tidak scra selektif? Mungkin daerah tertentu saja. Atau lbh baik lg cari akar masalahnya dulu.,   Dari konsep juga sudah kacau Kenapa MBG diberikan pada anak sekolah tanpa seleksi Apa sebenarnya tujuan MBG Kalau utk mengurangi kurang gizi kenapa tidak scra selektif Mungkin daerah tertentu saja Atau lbh baik lg cari akar masalahnya dulu,   dari konsep juga sudah kacau kenapa mbg diberikan pada anak sekolah tanpa seleksi apa sebenarnya tujuan mbg kalau utk mengurangi kurang gizi kenapa tidak scra selektif mungkin daerah tertentu saja atau lbh baik lg cari akar masalahnya dulu,"['dari', 'konsep', 'juga', 'sudah', 'kacau', 'kenapa', 'mbg', 'diberikan', 'pada', 'anak', 'sekolah', 'tanpa', 'seleksi', 'apa', 'sebenarnya', 'tujuan', 'mbg', 'kalau', 'utk', 'mengurangi', 'kurang', 'gizi', 'kenapa', 'tidak', 'scra', 'selektif', 'mungkin', 'daerah', 'tertentu', 'saja', 'atau', 'lbh', 'baik', 'lg', 'cari', 'akar', 'masalahnya', 'dulu']",dari konsep juga sudah kacau kenapa mbak diberikan pada anak sekolah tanpa seleksi apa sebenarnya tujuan mbak kalau untuk mengurangi kurang gizi kenapa tidak secara selektif mungkin daerah tertentu saja atau lebih baik lagi cari akar masalahnya dulu,konsep kacau diberikan anak sekolah seleksi apa sebenarnya tujuan kalau mengurangi kurang gizi selektif mungkin daerah tertentu lebih baik cari akar masalahnya dulu,konsep kacau beri anak sekolah seleksi apa benar tuju kalau kurang kurang gizi selektif mungkin daerah tentu lebih baik cari akar masalah dulu
@randomable_ Klo gw minta prabowo pecat wamen model gini gimana ya? Prabowo kan bawahan rakyat..., Klo gw minta prabowo pecat wamen model gini gimana ya Prabowo kan bawahan rakyat, klo gw minta prabowo pecat wamen model gini gimana ya prabowo kan bawahan rakyat,"['klo', 'gw', 'minta', 'prabowo', 'pecat', 'wamen', 'model', 'gini', 'gimana', 'ya', 'prabowo', 'kan', 'bawahan', 'rakyat']",kalau gue meminta prabowo pecat wamen model begini bagaimana ya prabowo kan bawahan rakyat,kalau meminta prabowo pecat wamen model begini bagaimana prabowo kan bawahan rakyat,kalau minta prabowo pecat wamen model begini bagaimana prabowo kan bawah rakyat
@v4nc1_b0zz @prabowo Tapi tetep sedikit lebih baik dibanding era si bgcd kowi,  Tapi tetep sedikit lebih baik dibanding era si bgcd kowi,  tapi tetep sedikit lebih baik dibanding era si bgcd kowi,"['tapi', 'tetep', 'sedikit', 'lebih', 'baik', 'dibanding', 'era', 'si', 'bgcd', 'kowi']",tapi tetap sedikit lebih baik dibanding era sih bgcd kowi,tetap sedikit lebih baik dibanding era bgcd kowi,tetap sedikit lebih baik banding era bgcd kowi
Apa yg di cari oleh pembela jokowi? Monitor Yth @prabowo @KejaksaanRI Sosok Irma Suryani Chaniago Berani Sebut Roy Suryo Pakar Telematika Palsu: Dia Cuma Mau Bikin Kacau https://t.co/FoSDVdfJjC?,Apa yg di cari oleh pembela jokowi Monitor Yth   Sosok Irma Suryani Chaniago Berani Sebut Roy Suryo Pakar Telematika Palsu Dia Cuma Mau Bikin Kacau ,apa yg di cari oleh pembela jokowi monitor yth   sosok irma suryani chaniago berani sebut roy suryo pakar telematika palsu dia cuma mau bikin kacau ,"['apa', 'yg', 'di', 'cari', 'oleh', 'pembela', 'jokowi', 'monitor', 'yth', 'sosok', 'irma', 'suryani', 'chaniago', 'berani', 'sebut', 'roy', 'suryo', 'pakar', 'telematika', 'palsu', 'dia', 'cuma', 'mau', 'bikin', 'kacau']",apa yang di cari oleh pembela jokowi monitor yth sosok irma suryani chaniago berani sebut roy suryo pakar telematika palsu dia cuma mau bikin kacau,apa cari pembela jokowi monitor yth sosok irma suryani chaniago berani sebut roy suryo pakar telematika palsu cuma mau bikin kacau,apa cari bela jokowi monitor yth sosok irma suryani chaniago berani sebut roy suryo pakar telematika palsu cuma mau bikin kacau
Era Jokowi : hanya korupsi receh yg diungkap dan ditindak.. Era Prabowo: korupsi Jumbo hanya diungkap tanpa ditindak.. Tenyata Omon-Omon doang.. https://t.co/eWhON83Y46,Era Jokowi  hanya korupsi receh yg diungkap dan ditindak Era Prabowo korupsi Jumbo hanya diungkap tanpa ditindak Tenyata OmonOmon doang ,era jokowi  hanya korupsi receh yg diungkap dan ditindak era prabowo korupsi jumbo hanya diungkap tanpa ditindak tenyata omonomon doang ,"['era', 'jokowi', 'hanya', 'korupsi', 'receh', 'yg', 'diungkap', 'dan', 'ditindak', 'era', 'prabowo', 'korupsi', 'jumbo', 'hanya', 'diungkap', 'tanpa', 'ditindak', 'tenyata', 'omonomon', 'doang']",era jokowi hanya korupsi receh yang diungkap dan ditindak era prabowo korupsi jumbo hanya diungkap tanpa ditindak tenyata omonomon doang,era jokowi korupsi receh diungkap ditindak era prabowo korupsi jumbo diungkap ditindak tenyata omonomon doang,era jokowi korupsi receh ungkap tindak era prabowo korupsi jumbo ungkap tindak tenyata omonomon doang
@FrediRandi4 Yakin KUHP 2026 di bawah Presiden Prabowo bisa jadi momentum perubahan yang positif, Yakin KUHP  di bawah Presiden Prabowo bisa jadi momentum perubahan yang positif, yakin kuhp  di bawah presiden prabowo bisa jadi momentum perubahan yang positif,"['yakin', 'kuhp', 'di', 'bawah', 'presiden', 'prabowo', 'bisa', 'jadi', 'momentum', 'perubahan', 'yang', 'positif']",yakin kuhp di bawah presiden prabowo bisa jadi momentum perubahan yang positif,yakin kuhp bawah presiden prabowo jadi momentum perubahan positif,yakin kuhp bawah presiden prabowo jadi momentum ubah positif
Prabowo diminta untuk tahajud dan baca surat Yusuf. Bapaknya sampe gemetar waktu mengutip salah satu surat Yusuf. Indonesia memang sedang ga baik baik saja. Tetap jaga damai ya kita... https://t.co/75bhe3RSFq,Prabowo diminta untuk tahajud dan baca surat Yusuf Bapaknya sampe gemetar waktu mengutip salah satu surat Yusuf Indonesia memang sedang ga baik baik saja Tetap jaga damai ya kita ,prabowo diminta untuk tahajud dan baca surat yusuf bapaknya sampe gemetar waktu mengutip salah satu surat yusuf indonesia memang sedang ga baik baik saja tetap jaga damai ya kita ,"['prabowo', 'diminta', 'untuk', 'tahajud', 'dan', 'baca', 'surat', 'yusuf', 'bapaknya', 'sampe', 'gemetar', 'waktu', 'mengutip', 'salah', 'satu', 'surat', 'yusuf', 'indonesia', 'memang', 'sedang', 'ga', 'baik', 'baik', 'saja', 'tetap', 'jaga', 'damai', 'ya', 'kita']",prabowo diminta untuk tahajud dan baca surat yusuf bapaknya sampai gemetar waktu mengutip salah satu surat yusuf indonesia memang sedang tidak baik baik saja tetap jaga damai ya kita,prabowo diminta tahajud baca surat yusuf bapaknya gemetar waktu mengutip salah satu surat yusuf indonesia memang sedang baik baik tetap jaga damai,prabowo minta tahajud baca surat yusuf bapak gemetar waktu kutip salah satu surat yusuf indonesia memang sedang baik baik tetap jaga damai
@JedTeguh03 Dukungan tulus Presiden Prabowo pada CKG inspirasi buat kita ikut andil, Dukungan tulus Presiden Prabowo pada CKG inspirasi buat kita ikut andil, dukungan tulus presiden prabowo pada ckg inspirasi buat kita ikut andil,"['dukungan', 'tulus', 'presiden', 'prabowo', 'pada', 'ckg', 'inspirasi', 'buat', 'kita', 'ikut', 'andil']",dukungan tulus presiden prabowo pada ckg inspirasi buat kita ikut andil,dukungan tulus presiden prabowo ckg inspirasi buat ikut andil,dukung tulus presiden prabowo ckg inspirasi buat ikut andil
@JedTeguh03 Presiden Prabowo dukung Perpres Perlindungan Jaksa bukti nyata peduli hukum, Presiden Prabowo dukung Perpres Perlindungan Jaksa bukti nyata peduli hukum, presiden prabowo dukung perpres perlindungan jaksa bukti nyata peduli hukum,"['presiden', 'prabowo', 'dukung', 'perpres', 'perlindungan', 'jaksa', 'bukti', 'nyata', 'peduli', 'hukum']",presiden prabowo dukung perpres perlindungan jaksa bukti nyata peduli hukum,presiden prabowo dukung perpres perlindungan jaksa bukti nyata peduli hukum,presiden prabowo dukung pres lindung jaksa bukti nyata peduli hukum
@KotaNusantara Program dari Presiden Prabowo ini beneran bikin masa depan keluarga berpenghasilan rendah jadi lebih cerah, Program dari Presiden Prabowo ini beneran bikin masa depan keluarga berpenghasilan rendah jadi lebih cerah, program dari presiden prabowo ini beneran bikin masa depan keluarga berpenghasilan rendah jadi lebih cerah,"['program', 'dari', 'presiden', 'prabowo', 'ini', 'beneran', 'bikin', 'masa', 'depan', 'keluarga', 'berpenghasilan', 'rendah', 'jadi', 'lebih', 'cerah']",program dari presiden prabowo ini benaran bikin masa depan keluarga berpenghasilan rendah jadi lebih cerah,program presiden prabowo benaran bikin masa depan keluarga berpenghasilan rendah jadi lebih cerah,program presiden prabowo benar bikin masa depan keluarga hasil rendah jadi lebih cerah
@ferrykoto @prabowo Ksh contoh persoalan apa yg udah diselesaikan?,  Ksh contoh persoalan apa yg udah diselesaikan,  ksh contoh persoalan apa yg udah diselesaikan,"['ksh', 'contoh', 'persoalan', 'apa', 'yg', 'udah', 'diselesaikan']",kasih contoh persoalan apa yang sudah diselesaikan,kasih contoh persoalan apa diselesaikan,kasih contoh soal apa selesai
@Hubdamxiv @prabowo mantap salam dari Denhub 141,  mantap salam dari Denhub ,  mantap salam dari denhub ,"['mantap', 'salam', 'dari', 'denhub']",mantap salam dari denhub,mantap salam denhub,mantap salam denhub
