full_text,cleaning,case_folding,tokenizing,normalisasi,stopwords_removal,stemming
@Maulhurobbi @prabowo on point brayyy,  on point brayyy,  on point brayyy,"['on', 'point', 'brayyy']",on point bray,on point bray,on point bray
 ️ Guess what? You re in! Your crypto gift awaits! More info - https://t.co/6F23jOKtaG Lucky batch: @Narcos1447 @heskel112 @Jayesh__Sharma @enzo_prabowo @cansu_yenice @0xbeachball DUG1N 9WBD4, Coba tebakAnda masukHadiah Crypto Anda menungguInfo lebih lanjut   Batch Lucky       dugn wbd, coba tebakanda masukhadiah crypto anda menungguinfo lebih lanjut   batch lucky       dugn wbd,"['coba', 'tebakanda', 'masukhadiah', 'crypto', 'anda', 'menungguinfo', 'lebih', 'lanjut', 'batch', 'lucky', 'dugn', 'wbd']",coba tebakanda masukhadiah crypto anda menungguinfo lebih lanjut batch lucky dugn wbd,coba tebakanda masukhadiah crypto menungguinfo lebih lanjut batch lucky dugn wbd,coba tebakanda masukhadiah crypto menungguinfo lebih lanjut batch lucky dugn wbd
People of #Bali #Indonesia welcomes the 19 years old young Sahil Jha at the Bali Airport and recognising the efforts of cycling across the globe to #SaveSoil. @SadhguruJV @prabowo @narendramodi @DrSJaishankar @cpsavesoil https://t.co/3gmEyLhrhi #SaveSoilSecureFuture,Orang orang   menyambut Sahil Jha muda yang berusia  tahun di bandara Bali dan mengakui upaya bersepeda di seluruh dunia ke       ,orang orang   menyambut sahil jha muda yang berusia  tahun di bandara bali dan mengakui upaya bersepeda di seluruh dunia ke       ,"['orang', 'orang', 'menyambut', 'sahil', 'jha', 'muda', 'yang', 'berusia', 'tahun', 'di', 'bandara', 'bali', 'dan', 'mengakui', 'upaya', 'bersepeda', 'di', 'seluruh', 'dunia', 'ke']",orang orang menyambut sahil jha muda yang berusia tahun di bandara bali dan mengakui upaya bersepeda di seluruh dunia ke,orang orang menyambut sahil jha muda berusia tahun bandara bali mengakui upaya bersepeda seluruh dunia,orang orang sambut sahil jha muda usia tahun bandara bal aku upaya sepeda seluruh dunia
@womensfootie_id @sporttiaphari baca wo to rick @prabowo @ditoariotedjo_ @erickthohir,  baca wo ke rick   ,  baca wo ke rick   ,"['baca', 'wo', 'ke', 'rick']",baca wo ke rick,baca wo rick,baca wo rick
@yaniarsim @susipudjiastuti @prabowo 5 42 PAK JOKOWI dan SCHWAB !!! GLOBAL HEALTH ARCHITECTURE DIGITAL TECHNOLOGY ENERGY TRANSITION LOW CARBON DEVELOPMENT NET ZERO !!! EMISSION NETSINK FOREST GREEN ECONOMY. https://t.co/8gmVy6rRys,     Pak jokowi dan schwab Arsitektur Kesehatan Global Teknologi Digital Transisi Energi Pengembangan Karbon Rendah Nol Nol Emisi Ekonomi Hijau Hutan Netsink,     pak jokowi dan schwab arsitektur kesehatan global teknologi digital transisi energi pengembangan karbon rendah nol nol emisi ekonomi hijau hutan netsink,"['pak', 'jokowi', 'dan', 'schwab', 'arsitektur', 'kesehatan', 'global', 'teknologi', 'digital', 'transisi', 'energi', 'pengembangan', 'karbon', 'rendah', 'nol', 'nol', 'emisi', 'ekonomi', 'hijau', 'hutan', 'netsink']",pak jokowi dan schwab arsitektur kesehatan global teknologi digital transisi energi pengembangan karbon rendah nol nol emisi ekonomi hijau hutan netsink,pak jokowi schwab arsitektur kesehatan global teknologi digital transisi energi pengembangan karbon rendah nol nol emisi ekonomi hijau hutan netsink,pak jokowi schwab arsitektur sehat global teknologi digital transisi energi kembang karbon rendah nol nol emisi ekonomi hijau hutan netsink
@Donny19stringer @are_inismyname @GreenpeaceID @prabowo @azissubekti @FDonghun @G3nX_files @IrawanRommi @Ndons_Back @BANGSAygSUJUD @Kimberley_PS08 @flolikethis @99propaganda @AndreasSolusi The video was likely taken on October 20 2024 during President Prabowo Subianto's inauguration based on the formal setting and presence of officials like the Attorney General and Chief of Police. The speech is a general inaugural address focusing on national development ,              The video was likely taken on October   during President PrabowoPelantikan Subianto berdasarkan pengaturan formal dan keberadaan pejabat seperti Jaksa Agung dan Kepala PolisiPidato adalah alamat pelantikan umum yang berfokus pada pembangunan nasional,              the video was likely taken on october   during president prabowopelantikan subianto berdasarkan pengaturan formal dan keberadaan pejabat seperti jaksa agung dan kepala polisipidato adalah alamat pelantikan umum yang berfokus pada pembangunan nasional,"['the', 'video', 'was', 'likely', 'taken', 'on', 'october', 'during', 'president', 'prabowopelantikan', 'subianto', 'berdasarkan', 'pengaturan', 'formal', 'dan', 'keberadaan', 'pejabat', 'seperti', 'jaksa', 'agung', 'dan', 'kepala', 'polisipidato', 'adalah', 'alamat', 'pelantikan', 'umum', 'yang', 'berfokus', 'pada', 'pembangunan', 'nasional']",the video was likely taken on october during president prabowopelantikan subianto berdasarkan pengaturan formal dan keberadaan pejabat seperti jaksa agung dan kepala polisipidato adalah alamat pelantikan umum yang berfokus pada pembangunan nasional,the video was likely taken on october during president prabowopelantikan subianto berdasarkan pengaturan formal keberadaan pejabat jaksa agung kepala polisipidato alamat pelantikan umum berfokus pembangunan nasional,the video was likely taken on october during president prabowopelantikan subianto dasar atur formal ada jabat jaksa agung kepala polisipidato alamat lantik umum fokus bangun nasional
@Donny19stringer @are_inismyname @GreenpeaceID @prabowo @azissubekti @FDonghun @G3nX_files @IrawanRommi @Ndons_Back @BANGSAygSUJUD @Kimberley_PS08 @flolikethis @99propaganda @AndreasSolusi No evidence confirms a specific speech by President Prabowo addressing nickel mining in Raja Ampat suggesting the claim may be inaccurate or exaggerated. Nickel mining in the region is causing environmental harm with over 500 hectares of forest cleared and sedimentation,                    NODOURUS NO    di Raja Ampat yang menyarankan klaim tersebut mungkin tidak akurat atau dibesar besarkanPenambangan nikel di wilayah ini menyebabkan kerugian lingkungan dengan lebih dari  hektar hutan yang dibersihkan dan sedimentasi,                    nodourus no    di raja ampat yang menyarankan klaim tersebut mungkin tidak akurat atau dibesar besarkanpenambangan nikel di wilayah ini menyebabkan kerugian lingkungan dengan lebih dari  hektar hutan yang dibersihkan dan sedimentasi,"['nodourus', 'no', 'di', 'raja', 'ampat', 'yang', 'menyarankan', 'klaim', 'tersebut', 'mungkin', 'tidak', 'akurat', 'atau', 'dibesar', 'besarkanpenambangan', 'nikel', 'di', 'wilayah', 'ini', 'menyebabkan', 'kerugian', 'lingkungan', 'dengan', 'lebih', 'dari', 'hektar', 'hutan', 'yang', 'dibersihkan', 'dan', 'sedimentasi']",nodourus no di raja ampat yang menyarankan klaim tersebut mungkin tidak akurat atau dibesar besarkanpenambangan nikel di wilayah ini menyebabkan kerugian lingkungan dengan lebih dari hektar hutan yang dibersihkan dan sedimentasi,nodourus no raja ampat menyarankan klaim tersebut mungkin akurat dibesar besarkanpenambangan nikel wilayah menyebabkan kerugian lingkungan lebih hektar hutan dibersihkan sedimentasi,nodourus no raja ampat saran klaim sebut mungkin akurat besar besarkanpenambangan nikel wilayah sebab rugi lingkung lebih hektar hutan bersih sedimentasi
@bangherwin @prabowo Liciiinn... ,  liciiinn ,  liciiinn ,['liciiinn'],liciiinn,liciiinn,liciiinn
@NenkMonica Buzzer @prabowo, buzzer , buzzer ,['buzzer'],buzzer,buzzer,buzzer
@cimolness i did not vote for prabowo i critique him and those who voted for him ENDLESSLY. But blaming 02 voters who are suffering from his policies does not do anything and at worst is a negative action for this issue in particular due to the fact that they are powerless currently., Saya tidak memilih Prabowo saya mengkritiknya dan mereka yang memilihnya tanpa hentiTetapi menyalahkan  pemilih yang menderita kebijakannya tidak melakukan apa pun dan paling buruk adalah tindakan negatif untuk masalah ini khususnya karena fakta bahwa mereka saat ini tidak berdaya, saya tidak memilih prabowo saya mengkritiknya dan mereka yang memilihnya tanpa hentitetapi menyalahkan  pemilih yang menderita kebijakannya tidak melakukan apa pun dan paling buruk adalah tindakan negatif untuk masalah ini khususnya karena fakta bahwa mereka saat ini tidak berdaya,"['saya', 'tidak', 'memilih', 'prabowo', 'saya', 'mengkritiknya', 'dan', 'mereka', 'yang', 'memilihnya', 'tanpa', 'hentitetapi', 'menyalahkan', 'pemilih', 'yang', 'menderita', 'kebijakannya', 'tidak', 'melakukan', 'apa', 'pun', 'dan', 'paling', 'buruk', 'adalah', 'tindakan', 'negatif', 'untuk', 'masalah', 'ini', 'khususnya', 'karena', 'fakta', 'bahwa', 'mereka', 'saat', 'ini', 'tidak', 'berdaya']",saya tidak memilih prabowo saya mengkritiknya dan mereka yang memilihnya tanpa hentitetapi menyalahkan pemilih yang menderita kebijakannya tidak melakukan apa pun dan paling buruk adalah tindakan negatif untuk masalah ini khususnya karena fakta bahwa mereka saat ini tidak berdaya,memilih prabowo mengkritiknya memilihnya hentitetapi menyalahkan pemilih menderita kebijakannya melakukan apa paling buruk tindakan negatif masalah khususnya fakta berdaya,pilih prabowo kritik pilih hentitetapi salah pilih derita bijak laku apa paling buruk tindak negatif masalah khusus fakta daya
@susipudjiastuti @prabowo Presiden @prabowo,  presiden ,  presiden ,['presiden'],presiden,presiden,presiden
Presiden @prabowo,Presiden ,presiden ,['presiden'],presiden,presiden,presiden
@susipudjiastuti @prabowo PC Bu. Via Whatsapp Bu Teddy.,  pc buMelalui whatsapp bu teddy,  pc bumelalui whatsapp bu teddy,"['pc', 'bumelalui', 'whatsapp', 'bu', 'teddy']",pc bumelalui whatsapp bu teddy,pc bumelalui whatsapp bu teddy,pc bumelalui whatsapp bu teddy
@6ix7even8ight @susipudjiastuti @prabowo @Gerindra oh hi,    oh hai,    oh hai,"['oh', 'hai']",oh hai,hai,hai
@prabowo caper alay, caper alay, caper alay,"['caper', 'alay']",caper alay,caper alay,caper alay
@50Kuasa @DS_yantie @Mdy_Asmara1701 @prabowo @ListyoSigitP @semua @Puspenkum @AliNgabalinNew @alisyarief @NenkMonica @choymarkochoy_ @cobeh2022 @blackshark7890 @AzwarNasution12 @ArtaN7707 @PDI_Perjuangan AMAZING..,             ,             ,[],,,
@susipudjiastuti @prabowo Pak @prabowo pleasee,  pak  pleasee,  pak  pleasee,"['pak', 'pleasee']",pak pleasee,pak pleasee,pak pleasee
@everlastinqlov @prabowo ancok,  ANCOK,  ancok,['ancok'],ancok,ancok,ancok
i'm in the crowd let's add prabowo and jokowi too. that would be LIT ,Saya di kerumunan mari kita tambahkan Prabowo dan Jokowi jugaitu akan menyala,saya di kerumunan mari kita tambahkan prabowo dan jokowi jugaitu akan menyala,"['saya', 'di', 'kerumunan', 'mari', 'kita', 'tambahkan', 'prabowo', 'dan', 'jokowi', 'jugaitu', 'akan', 'menyala']",saya di kerumunan mari kita tambahkan prabowo dan jokowi jugaitu akan menyala,kerumunan tambahkan prabowo jokowi jugaitu menyala,kerumun tambah prabowo jokowi jugaitu nyala
@GStidy @susipudjiastuti @prabowo SORRY YE SORRY https://t.co/XGUCnyU58v,   maaf kamu maaf ,   maaf kamu maaf ,"['maaf', 'kamu', 'maaf']",maaf kamu maaf,maaf kamu maaf,maaf kamu maaf
@prabowo PRETTTT!!!, pretttt , pretttt ,['pretttt'],pretttt,pretttt,pretttt
@pojokanarki @ZulkifliLubis69 @jokowi @bobbynasution_ @gibran_tweet @prabowo The claims about Bobby Nasution and Airlangga Hartarto's involvement in nickel smuggling to China stem from unverified statements by the late economist Faisal Basri citing KPK intelligence. No official investigation or evidence confirms these allegations as of June 7 2025. Data,      Klaim tentang Bobby Nasution dan keterlibatan Airlangsang Hartarto dalam penyelundupan nikel ke China Stem dari pernyataan yang tidak diverifikasi oleh Ekonom Akhir Ekonom Faisal Bas CitingTidak ada investigasi atau bukti resmi yang mengkonfirmasi tuduhan ini pada  Juni  Data,      klaim tentang bobby nasution dan keterlibatan airlangsang hartarto dalam penyelundupan nikel ke china stem dari pernyataan yang tidak diverifikasi oleh ekonom akhir ekonom faisal bas citingtidak ada investigasi atau bukti resmi yang mengkonfirmasi tuduhan ini pada  juni  data,"['klaim', 'tentang', 'bobby', 'nasution', 'dan', 'keterlibatan', 'airlangsang', 'hartarto', 'dalam', 'penyelundupan', 'nikel', 'ke', 'china', 'stem', 'dari', 'pernyataan', 'yang', 'tidak', 'diverifikasi', 'oleh', 'ekonom', 'akhir', 'ekonom', 'faisal', 'bas', 'citingtidak', 'ada', 'investigasi', 'atau', 'bukti', 'resmi', 'yang', 'mengkonfirmasi', 'tuduhan', 'ini', 'pada', 'juni', 'data']",klaim tentang bobby nasution dan keterlibatan airlangsang hartarto dalam penyelundupan nikel ke china stem dari pernyataan yang tidak diverifikasi oleh ekonom akhir ekonom faisal bas citingtidak ada investigasi atau bukti resmi yang mengkonfirmasi tuduhan ini pada juni data,klaim bobby nasution keterlibatan airlangsang hartarto penyelundupan nikel china stem pernyataan diverifikasi ekonom akhir ekonom faisal bas citingtidak investigasi bukti resmi mengkonfirmasi tuduhan juni data,klaim bobby nasution libat airlangsang hartarto selundup nikel china stem nyata verifikasi ekonom akhir ekonom faisal bas citingtidak investigasi bukti resmi konfirmasi tuduh juni data
@susipudjiastuti @prabowo Help us @realDonaldTrump @netanyahu @EmmanuelMacron @JustinTrudeau @10DowningStreet @UN @TheJusticeDept,  bantu kami       ,  bantu kami       ,"['bantu', 'kami']",bantu kami,bantu,bantu
Prabowo IS MOST THE EVIL among all candidates and no way yall saying it wont make any differences ofc it will tf.,Prabowo adalah yang paling jahat di antara semua kandidat dan tidak mungkin Anda mengatakan itu tidak akan membuat perbedaan apa pun yang akan terjadi,prabowo adalah yang paling jahat di antara semua kandidat dan tidak mungkin anda mengatakan itu tidak akan membuat perbedaan apa pun yang akan terjadi,"['prabowo', 'adalah', 'yang', 'paling', 'jahat', 'di', 'antara', 'semua', 'kandidat', 'dan', 'tidak', 'mungkin', 'anda', 'mengatakan', 'itu', 'tidak', 'akan', 'membuat', 'perbedaan', 'apa', 'pun', 'yang', 'akan', 'terjadi']",prabowo adalah yang paling jahat di antara semua kandidat dan tidak mungkin anda mengatakan itu tidak akan membuat perbedaan apa pun yang akan terjadi,prabowo paling jahat semua kandidat mungkin mengatakan membuat perbedaan apa terjadi,prabowo paling jahat semua kandidat mungkin kata buat beda apa jadi
Dear Mr.President @prabowo #SaveRajaAmpat #SavePapua https://t.co/ozA3jPumw9,Dear MrPresident    ,dear mrpresident    ,"['dear', 'mrpresident']",dear mrpresident,dear mrpresident,dear mrpresident
Too naive. Different people ofc will make difference policies and it does work (and ofc will not perfect). Look the bareminimum sby vs jokowi. Look how prabowo being pro tni compared to jokowi and sby an retired tni. Yall being prabowo enabler now ew,Terlalu naifOrang yang berbeda OFC akan membuat perbedaan kebijakan dan itu berhasil dan OFC tidak akan sempurnaLihatlah Bareminimum Sby vs JokowiLihatlah bagaimana Prabowo menjadi pro tni dibandingkan dengan Jokowi dan Sby seorang pensiunan TNIKalian menjadi prabowo enabler sekarang ew,terlalu naiforang yang berbeda ofc akan membuat perbedaan kebijakan dan itu berhasil dan ofc tidak akan sempurnalihatlah bareminimum sby vs jokowilihatlah bagaimana prabowo menjadi pro tni dibandingkan dengan jokowi dan sby seorang pensiunan tnikalian menjadi prabowo enabler sekarang ew,"['terlalu', 'naiforang', 'yang', 'berbeda', 'ofc', 'akan', 'membuat', 'perbedaan', 'kebijakan', 'dan', 'itu', 'berhasil', 'dan', 'ofc', 'tidak', 'akan', 'sempurnalihatlah', 'bareminimum', 'sby', 'vs', 'jokowilihatlah', 'bagaimana', 'prabowo', 'menjadi', 'pro', 'tni', 'dibandingkan', 'dengan', 'jokowi', 'dan', 'sby', 'seorang', 'pensiunan', 'tnikalian', 'menjadi', 'prabowo', 'enabler', 'sekarang', 'ew']",terlalu naiforang yang berbeda ofc akan membuat perbedaan kebijakan dan itu berhasil dan ofc tidak akan sempurnalihatlah bareminimum surabaya vs jokowilihatlah bagaimana prabowo menjadi pro tni dibandingkan dengan jokowi dan surabaya seorang pensiunan tnikalian menjadi prabowo enabler sekarang ew,terlalu naiforang berbeda ofc membuat perbedaan kebijakan berhasil ofc sempurnalihatlah bareminimum surabaya vs jokowilihatlah bagaimana prabowo menjadi pro tni dibandingkan jokowi surabaya seorang pensiunan tnikalian menjadi prabowo enabler sekarang ew,terlalu naiforang beda ofc buat beda bijak hasil ofc sempurnalihatlah bareminimum surabaya vs jokowilihatlah bagaimana prabowo jadi pro tni banding jokowi surabaya orang pensiun tnikalian jadi prabowo enabler sekarang ew
